iter	Passed	Remaining
0	161	161059
1	164	82135
2	167	55597
3	169	42287
4	172	34398
5	176	29296
6	180	25563
7	182	22656
8	185	20379
9	189	18764
10	191	17232
11	194	15985
12	195	14856
13	197	13880
14	198	13024
15	199	12284
16	201	11633
17	202	11067
18	205	10600
19	206	10140
20	208	9738
21	210	9361
22	212	9013
23	213	8692
24	215	8400
25	216	8124
26	218	7875
27	220	7656
28	222	7450
29	223	7241
30	225	7060
31	226	6856
32	228	6690
33	230	6536
34	232	6405
35	234	6268
36	236	6142
37	237	6023
38	239	5900
39	241	5786
40	242	5682
41	244	5579
42	246	5477
43	247	5386
44	250	5306
45	251	5220
46	253	5136
47	254	5055
48	256	4977
49	258	4903
50	259	4835
51	261	4765
52	263	4700
53	264	4641
54	266	4581
55	268	4522
56	269	4464
57	271	4410
58	273	4356
59	274	4302
60	276	4254
61	277	4203
62	279	4164
63	281	4118
64	283	4076
65	285	4036
66	286	3994
67	288	3953
68	290	3913
69	291	3875
70	293	3836
71	295	3804
72	296	3767
73	298	3734
74	300	3701
75	301	3669
76	303	3636
77	304	3605
78	306	3575
79	308	3546
80	310	3519
81	312	3495
82	313	3467
83	315	3438
84	317	3412
85	318	3385
86	320	3359
87	321	3334
88	323	3309
89	325	3286
90	326	3264
91	328	3242
92	330	3220
93	331	3198
94	333	3175
95	334	3154
96	336	3135
97	338	3115
98	340	3097
99	342	3079
100	343	3060
101	345	3041
102	346	3021
103	348	3003
104	349	2977
105	350	2959
106	352	2942
107	354	2924
108	355	2909
109	357	2893
110	359	2877
111	360	2862
112	362	2847
113	364	2832
114	366	2820
115	368	2804
116	369	2790
117	371	2775
118	373	2762
119	374	2749
120	377	2739
121	378	2726
122	380	2713
123	382	2700
124	384	2688
125	386	2678
126	388	2670
127	390	2658
128	392	2647
129	393	2635
130	395	2623
131	397	2612
132	398	2599
133	400	2587
134	402	2577
135	404	2567
136	406	2558
137	407	2548
138	409	2537
139	411	2525
140	412	2515
141	414	2505
142	416	2494
143	418	2487
144	420	2477
145	421	2467
146	422	2454
147	424	2444
148	426	2434
149	427	2425
150	429	2416
151	431	2408
152	433	2400
153	435	2391
154	436	2381
155	438	2371
156	440	2363
157	441	2354
158	443	2346
159	445	2337
160	447	2330
161	449	2324
162	451	2316
163	452	2308
164	454	2299
165	455	2290
166	457	2282
167	459	2274
168	460	2266
169	462	2259
170	464	2250
171	465	2243
172	467	2236
173	469	2228
174	471	2220
175	472	2213
176	474	2205
177	475	2198
178	477	2191
179	479	2185
180	481	2178
181	483	2171
182	484	2164
183	486	2157
184	488	2151
185	490	2144
186	491	2137
187	493	2131
188	494	2123
189	496	2116
190	498	2109
191	499	2104
192	501	2098
193	503	2092
194	505	2088
